,City2,State2,savings,hpigap,Pop,Location,Latitude,Longitude
1,Abilene,TX,0.3087260739,93.5353125,408,"Abilene, TX",32.4487364,-99.7331439
2,Akron,OH,0.5081301052,147.337,85,"Akron, OH",41.0814447,-81.5190053
3,Albany,GA,0.2587198257,51.07,13,"Albany, GA",31.5785074,-84.155741
4,Albany-Lebanon,OR,0.1594960141,52.433125,632,"Albany-Lebanon, OR",44.5365119,-122.9070339
5,Albany-Schenectady-Troy,NY,0.2956053349,95.7409375,334,"Albany-Schenectady-Troy, NY",42.7284117,-73.6917851
6,Albuquerque,NM,0.3040563065,77.63307692,1228,"Albuquerque, NM",35.0843859,-106.650422
7,Alexandria,LA,0.2579234397,80.81375,305,"Alexandria, LA",31.3112936,-92.4451371
8,Allentown-Bethlehem-Easton,PA,0.3557460993,105.737,137,"Allentown-Bethlehem-Easton, PA",40.5833639,-75.5043761
9,Altoona,PA,0.2566721538,74.0825,32,"Altoona, PA",40.5186809,-78.3947359
10,Amarillo,TX,0.2746847884,81.64071429,450,"Amarillo, TX",35.2219971,-101.8312969
11,Ames,IA,0.2818497314,79.8685,126,"Ames, IA",42.0307812,-93.6319131
12,Ann Arbor,MI,0.2987877716,89.44166667,191,"Ann Arbor, MI",42.2808256,-83.7430378
13,Anniston-Oxford,AL,0.4771778645,153.13625,99,"Anniston-Oxford, AL",33.7701576,-85.80766
14,Appleton,WI,0.3616302577,106.9445,273,"Appleton, WI",44.2619309,-88.4153847
15,Asheville,NC,0.1577088772,57.131875,512,"Asheville, NC",35.5950581,-82.5514869
16,Athens-Clarke County,GA,0.2356030839,65.56,78,"Athens-Clarke County, GA",33.9519347,-83.357567
17,Atlanta-Sandy Springs-Alpharetta,GA,0.270666051,80.16392857,2572,"Atlanta-Sandy Springs-Alpharetta, GA",34.0753762,-84.2940899
18,Atlantic City-Hammonton,NJ,0.3543604058,115.42,44,"Atlantic City-Hammonton, NJ",39.6365056,-74.8023853
19,Auburn-Opelika,AL,0.3376978887,95.8125,60,"Auburn-Opelika, AL",32.637656,-85.3836481
20,Augusta-Richmond County,GA,0.3497270499,97.74692308,827,"Augusta-Richmond County, GA",33.4734978,-82.0105148
21,Austin-Round Rock-GeorgeTown,TX,-0.05820875783,-6.98328125,10053,"Austin-Round Rock-GeorgeTown, TX",30.6332618,-97.6779842
22,Baltimore-Columbia-Towson,MD,0.02695002519,14.74416667,725,"Baltimore-Columbia-Towson, MD",39.372594,-76.6412712
23,Bangor,ME,0.3617407473,109.05875,147,"Bangor, ME",44.8016128,-68.7712257
24,Barnstable Town,MA,0.1093481231,34.01,145,"Barnstable Town, MA",41.7003208,-70.3002024
25,Baton Rouge,LA,0.1516143789,53.901875,328,"Baton Rouge, LA",30.4514677,-91.1871466
26,Battle Creek,MI,0.3930064481,112.3183333,36,"Battle Creek, MI",42.3211522,-85.1797142
27,Bay City,MI,0.3383908781,74.045,47,"Bay City, MI",43.5944677,-83.8888647
28,Beaumont-Port Arthur,TX,0.3082482841,95.7895,794,"Beaumont-Port Arthur, TX",30.080174,-94.1265562
29,Beckley,WV,0.1857668245,43.945,3,"Beckley, WV",37.7781702,-81.1881557
30,Bellingham,WA,0.09711741215,35.23653846,673,"Bellingham, WA",48.7519112,-122.4786854
31,Bend,OR,-0.04735505296,-2.1275,2141,"Bend, OR",44.0581728,-121.3153096
32,Billings,MT,0.09723059073,39.07416667,124,"Billings, MT",45.7832856,-108.5006904
33,Binghamton,NY,0.454340394,153.8475,46,"Binghamton, NY",42.0986867,-75.9179738
34,Birmingham-Hoover,AL,0.2921695997,86.623,276,"Birmingham-Hoover, AL",33.4053867,-86.8113781
35,Bismarck,ND,0.02481313112,9.158333333,48,"Bismarck, ND",46.8054947,-100.7876931
36,Blacksburg-Christiansburg,VA,0.1753117439,47.02166667,180,"Blacksburg-Christiansburg, VA",37.2295733,-80.4139393
37,Bloomington,IL,0.3886339137,99.153125,80,"Bloomington, IL",40.4842027,-88.9936873
38,Bloomington,IN,0.2791683122,76.9955,359,"Bloomington, IN",39.165325,-86.5263857
39,Bloomsburg-Berwick,PA,0.3616670686,112.4875,14,"Bloomsburg-Berwick, PA",41.003698,-76.4549457
40,Boise City,ID,0.1673922245,52.61090909,7676,"Boise City, ID",43.6150186,-116.2023137
41,Boston-Cambridge-Newton,MA,-0.05071539727,-1.495714286,1277,"Boston-Cambridge-Newton, MA",42.3736158,-71.1097335
42,Boulder,CO,-0.03836171868,-2.12475,2065,"Boulder, CO",40.0149856,-105.2705456
43,Bowling Green,KY,0.4422078169,133.2933333,125,"Bowling Green, KY",36.9685219,-86.4808043
44,Bremerton-Silverdale-Port Orchard,WA,0.03716197513,20.15152778,2069,"Bremerton-Silverdale-Port Orchard, WA",47.5403732,-122.6362492
45,Bridgeport-Stamford-Norwalk,CT,0.2619613093,79.745,124,"Bridgeport-Stamford-Norwalk, CT",41.117744,-73.4081575
46,Brownsville-Harlingen,TX,0.3386131298,84.6825,195,"Brownsville-Harlingen, TX",26.1906306,-97.6961026
47,Brunswick,GA,0.4269727105,146.38875,25,"Brunswick, GA",31.1499528,-81.4914894
48,Buffalo-Cheektowaga,NY,0.3255341388,88.195,195,"Buffalo-Cheektowaga, NY",42.9071477,-78.7542892
49,Burlington,NC,0.5817032562,205.32875,221,"Burlington, NC",36.0959801,-79.4371405
50,Burlington-South Burlington,VT,0.2272737764,77.2090625,286,"Burlington-South Burlington, VT",44.4669941,-73.1709604
51,California-Lexington Park,MD,0.1973342421,57.31375,93,"California-Lexington Park, MD",38.3004029,-76.5074542
52,Canton-Massillon,OH,0.4085055952,102.64,79,"Canton-Massillon, OH",40.7989473,-81.378447
53,Cape Coral-Fort Myers,FL,0.1365986319,46.06272727,785,"Cape Coral-Fort Myers, FL",26.5605279,-81.9274896
54,Cape Girardeau,MO,0.319355005,87.36416667,52,"Cape Girardeau, MO",37.3058839,-89.5181476
55,Carbondale-Marion,IL,0.2910195664,79.35,67,"Carbondale-Marion, IL",37.7272727,-89.2167501
56,Carson City,NV,0.2074514428,62.58279412,902,"Carson City, NV",39.1637984,-119.7674034
57,Casper,WY,-0.1408943643,-15.096875,69,"Casper, WY",42.848709,-106.2980824
58,Cedar Rapids,IA,0.4876475779,161.466875,85,"Cedar Rapids, IA",41.9778795,-91.6656232
59,Chambersburg-Waynesboro,PA,0.4566686006,154.3108333,25,"Chambersburg-Waynesboro, PA",39.9375911,-77.6611022
60,Champaign-Urbana,IL,0.3979129328,116.16,49,"Champaign-Urbana, IL",40.1105875,-88.2072697
61,Charleston,WV,0.4914414357,167.036875,106,"Charleston, WV",38.3498195,-81.6326234
62,Charleston-North Charleston,SC,-0.139524884,-23.51357143,985,"Charleston-North Charleston, SC",32.8909785,-80.0691552
63,Charlotte-Concord-Gastonia,NC,0.2636930272,76.79846154,2284,"Charlotte-Concord-Gastonia, NC",35.1223173,-80.7214417
64,Charlottesville,VA,0.3177154775,108.7208333,139,"Charlottesville, VA",38.0293059,-78.4766781
65,Chattanooga,TN,0.2395998782,66.88575,1025,"Chattanooga, TN",35.0457984,-85.3093995
66,Cheyenne,WY,0.1533219051,54.73725,427,"Cheyenne, WY",41.1399814,-104.8202462
67,Chicago-Naperville-Elgin,IL,0.2125922614,49.91395833,1352,"Chicago-Naperville-Elgin, IL",42.2162567,-87.8549755
68,Cincinnati,OH,0.397912789,118.085,779,"Cincinnati, OH",39.1031182,-84.5120196
69,Clarksville,TN,0.2291023705,68.81846154,1041,"Clarksville, TN",36.5297706,-87.3594528
70,Cleveland,TN,0.4091174653,135.6916667,190,"Cleveland, TN",35.1595182,-84.8766115
71,Cleveland-Elyria,OH,0.4653531548,131.8875,987,"Cleveland-Elyria, OH",41.3683798,-82.1076486
72,Coeur d'Alene,ID,0.2097880449,66.58333333,1371,"Coeur d'Alene, ID",47.6734632,-116.7812225
73,College Station-Bryan,TX,0.1610566757,51.248125,504,"College Station-Bryan, TX",30.825147,-96.4929797
74,Colorado Springs,CO,0.2824474642,87.82057692,2334,"Colorado Springs, CO",38.8338816,-104.8213634
75,Columbia,MO,0.332165293,99.582,182,"Columbia, MO",38.9517053,-92.3340724
76,Columbia,SC,0.31595425,88.92985294,1920,"Columbia, SC",34.0007104,-81.0348144
77,Columbus,GA,0.3776002882,109.7102083,416,"Columbus, GA",32.4609764,-84.9877094
78,Columbus,IN,0.5516580051,194.94625,41,"Columbus, IN",39.2014404,-85.9213796
79,Columbus,OH,0.3031379335,80.5725,367,"Columbus, OH",39.9611755,-82.9987942
80,Corpus Christi,TX,0.2326494807,68.611,569,"Corpus Christi, TX",27.8005828,-97.396381
81,Corvallis,OR,0.2355959499,80.1346875,519,"Corvallis, OR",44.5645659,-123.2620435
82,Crestview-Fort Walton Beach-Destin,FL,0.1793208218,60.58909091,590,"Crestview-Fort Walton Beach-Destin, FL",30.3935337,-86.4957833
83,Cumberland,MD,0.5585815074,197.33875,10,"Cumberland, MD",39.6528654,-78.7625185
84,Dallas-Fort Worth-Arlington,TX,0.07360150849,29.788625,14142,"Dallas-Fort Worth-Arlington, TX",32.735687,-97.1080656
85,Dalton,GA,0.4050422229,126.24,156,"Dalton, GA",34.7698021,-84.9702228
86,Danville,IL,0.1684916087,32.93,2,"Danville, IL",40.124481,-87.6300207
87,Daphne-Fairhope-Foley,AL,0.181251334,48.641,36,"Daphne-Fairhope-Foley, AL",30.6035255,-87.9036047
88,Davenport-Moline-Rock Island,IA,0.2389799537,63.7275,477,"Davenport-Moline-Rock Island, IA",41.5067003,-90.5151342
89,Dayton-Kettering,OH,0.4764533143,131.7768182,727,"Dayton-Kettering, OH",39.7107627,-84.139777
90,Decatur,AL,0.3368587999,94.05,7,"Decatur, AL",34.6059253,-86.9833417
91,Decatur,IL,0.4647853498,133.1608333,66,"Decatur, IL",39.8403147,-88.9548001
92,Deltona-Daytona Beach-Ormond Beach,FL,0.1763402837,55.50805556,460,"Deltona-Daytona Beach-Ormond Beach, FL",29.2858129,-81.0558894
93,Denver-Aurora-Lakewood,CO,-0.03801563281,1.158846154,5492,"Denver-Aurora-Lakewood, CO",39.5142848,-104.8454619
94,Des Moines-West Des Moines,IA,0.3101475154,93.30875,408,"Des Moines-West Des Moines, IA",41.5410117,-93.8163328
95,Detroit-Warren-Dearborn,MI,0.2736104183,58.691,287,"Detroit-Warren-Dearborn, MI",42.3222599,-83.1763145
96,Dothan,AL,0.4090804116,122.645,51,"Dothan, AL",31.2232313,-85.3904888
97,Dover,DE,0.3929265061,134.08625,38,"Dover, DE",39.158168,-75.5243682
98,Dubuque,IA,0.3643433361,116.6635,68,"Dubuque, IA",42.506348,-90.6677347
99,Duluth,MN,0.1993096504,67.639375,139,"Duluth, MN",46.7866719,-92.1004852
100,Durham-Chapel Hill,NC,0.213342488,61.605625,591,"Durham-Chapel Hill, NC",35.9708029,-78.9740725
101,East Stroudsburg,PA,0.3950168371,104.4291667,116,"East Stroudsburg, PA",41.0030522,-75.1817547
102,Eau Claire,WI,0.2709008472,87.546,40,"Eau Claire, WI",44.811349,-91.4984941
103,El Paso,TX,0.3095395262,85.22055556,1635,"El Paso, TX",31.7618778,-106.4850217
104,Elizabethtown-Fort Knox,KY,0.2795806318,74.92416667,190,"Elizabethtown-Fort Knox, KY",37.8836637,-85.9652686
105,Elkhart-Goshen,IN,0.4019515375,109.6866667,352,"Elkhart-Goshen, IN",41.5456719,-85.8281458
106,Elmira,NY,0.3331021703,82.16125,52,"Elmira, NY",42.0897965,-76.8077338
107,Enid,OK,0.1969123059,61.72357143,189,"Enid, OK",36.3955891,-97.8783911
108,Erie,PA,0.4135847514,129.2025,102,"Erie, PA",42.1292241,-80.085059
109,Eugene-Springfield,OR,0.1184606789,40.53214286,3559,"Eugene-Springfield, OR",44.0462362,-123.0220289
110,Evansville,IN,0.4007764713,116.7008333,269,"Evansville, IN",37.9715592,-87.5710898
111,Fargo,ND,0.05401117229,30.7245,118,"Fargo, ND",46.8771863,-96.7898034
112,Farmington,NM,0.2034894696,67.17833333,196,"Farmington, NM",36.7280583,-108.2186856
113,Fayetteville,NC,0.3861494663,103.1109615,768,"Fayetteville, NC",35.0523673,-78.8783774
114,Fayetteville-Springdale-Rogers,AR,0.3336552773,102.4913889,1143,"Fayetteville-Springdale-Rogers, AR",36.0148605,-94.2333355
115,Flagstaff,AZ,0.1574627831,54.21211538,2098,"Flagstaff, AZ",35.1982836,-111.651302
116,Flint,MI,0.4049010491,103.2635,152,"Flint, MI",43.0125274,-83.6874562
117,Florence,SC,0.2549862432,58.9875,62,"Florence, SC",34.1954331,-79.7625625
118,Florence-Muscle Shoals,AL,0.3325590909,106.1141667,194,"Florence-Muscle Shoals, AL",34.7448112,-87.6675292
119,Fond du Lac,WI,0.4123042181,115.47,30,"Fond du Lac, WI",43.7730448,-88.4470508
120,Fort Collins,CO,0.02473681659,17.99410714,1489,"Fort Collins, CO",40.5852602,-105.084423
121,Fort Smith,AR,0.3156607091,91.5021875,439,"Fort Smith, AR",35.3843722,-94.4209646
122,Fort Wayne,IN,0.37762769,97.44916667,315,"Fort Wayne, IN",41.079273,-85.1393513
123,Gadsden,AL,0.4260670364,132.5175,5,"Gadsden, AL",34.014264,-86.0066386
124,Gainesville,FL,0.2752178176,81.435625,516,"Gainesville, FL",29.6516344,-82.3248262
125,Gainesville,GA,0.3028138545,88.99,242,"Gainesville, GA",34.2978794,-83.8240663
126,Gettysburg,PA,0.3896047739,118.72,75,"Gettysburg, PA",39.8309293,-77.2310955
127,Glens Falls,NY,0.4720630488,167.44125,12,"Glens Falls, NY",43.3095164,-73.6440058
128,Goldsboro,NC,0.3787109061,104.13875,64,"Goldsboro, NC",35.3848841,-77.9927651
129,Grand Forks,ND,0.1134068015,35.08392857,221,"Grand Forks, ND",47.9252568,-97.0328547
130,Grand Island,NE,0.382689248,127.5216667,130,"Grand Island, NE",40.9263957,-98.3420118
131,Grand Junction,CO,0.130014797,49.159,236,"Grand Junction, CO",39.0638705,-108.5506486
132,Grand Rapids-Kentwood,MI,0.3299982048,95.0485,995,"Grand Rapids-Kentwood, MI",42.901022,-85.7256372
133,Grants Pass,OR,0.1452538152,48.74171875,829,"Grants Pass, OR",42.4390069,-123.3283925
134,Great Falls,MT,0.08229820518,23.583,167,"Great Falls, MT",47.5052849,-111.3007715
135,Greeley,CO,0.0632633713,30.167,747,"Greeley, CO",40.4233142,-104.7091322
136,Green Bay,WI,0.4783072479,156.2045,128,"Green Bay, WI",44.5133188,-88.0132958
137,Greensboro-High Point,NC,0.4421394199,131.4475,520,"Greensboro-High Point, NC",35.9556923,-80.0053176
138,Greenville,NC,0.4853347929,140.8883333,100,"Greenville, NC",35.612661,-77.3663538
139,Greenville-Anderson,SC,0.3066183465,92.378125,803,"Greenville-Anderson, SC",34.509023,-82.6521581
140,Gulfport-Biloxi,MS,0.2586210174,68.57678571,748,"Gulfport-Biloxi, MS",30.3674198,-89.0928155
141,Hagerstown-Martinsburg,MD,0.2754740342,69.14,315,"Hagerstown-Martinsburg, MD",39.6417629,-77.7199932
142,Hammond,LA,0.3481633309,108.2875,15,"Hammond, LA",30.5043583,-90.4611995
143,Harrisburg-Carlisle,PA,0.3537663339,100.3141667,258,"Harrisburg-Carlisle, PA",40.3157054,-77.1024902
144,Harrisonburg,VA,0.2341347159,66.7975,97,"Harrisonburg, VA",38.4495688,-78.8689155
145,Hartford-East Hartford-MiddleTown,CT,0.3528893678,104.16125,610,"Hartford-East Hartford-MiddleTown, CT",41.7634219,-72.6128339
146,Hattiesburg,MS,0.1453489759,41.50833333,71,"Hattiesburg, MS",31.3271189,-89.2903392
147,Hickory-Lenoir-Morganton,NC,0.4198223252,126.1407143,758,"Hickory-Lenoir-Morganton, NC",35.7454071,-81.6848188
148,Hilton Head Island-Bluffton,SC,0.1765575953,58.89607143,270,"Hilton Head Island-Bluffton, SC",32.2371465,-80.8603868
149,Hinesville,GA,0.4539423938,142.006875,128,"Hinesville, GA",31.8315028,-81.6141099
150,Homosassa Springs,FL,0.3839562015,121.0775,14,"Homosassa Springs, FL",28.8037059,-82.5761369
151,Hot Springs,AR,0.3718428825,121.3025,165,"Hot Springs, AR",34.5077615,-93.0546003
152,Houma-Thibodaux,LA,0.243276264,75.665,90,"Houma-Thibodaux, LA",29.7957633,-90.822871
153,Houston-The Woodlands-Sugar Land,TX,0.02835552496,18.15865385,5435,"Houston-The Woodlands-Sugar Land, TX",29.5984434,-95.6225521
154,Huntington-Ashland,WV,0.3535048696,96.89166667,50,"Huntington-Ashland, WV",38.3277225,-82.4752757
155,Huntsville,AL,0.398645847,126.015,634,"Huntsville, AL",34.7303688,-86.5861037
156,Idaho Falls,ID,0.2081910095,55.2525,617,"Idaho Falls, ID",43.4926607,-112.0407584
157,Indianapolis-Carmel-Anderson,IN,0.3557120461,92.07730769,1526,"Indianapolis-Carmel-Anderson, IN",39.83619,-86.1751759
158,Iowa City,IA,0.3691188599,113.2025,356,"Iowa City, IA",41.6578257,-91.5346169
159,Ithaca,NY,0.17323201,56.49958333,361,"Ithaca, NY",42.4439614,-76.5018807
160,Jackson,MI,0.3892240827,105.764375,204,"Jackson, MI",42.245869,-84.4013462
161,Jackson,MS,0.3440826091,107.9515,151,"Jackson, MS",32.2987573,-90.1848103
162,Jackson,TN,0.4134816709,107.6241667,38,"Jackson, TN",35.6145169,-88.8139469
163,Jacksonville,FL,0.182964393,64.4803125,1402,"Jacksonville, FL",30.3321838,-81.655651
164,Jacksonville,NC,0.2339156372,70.259,841,"Jacksonville, NC",34.7540524,-77.4302414
165,Janesville-Beloit,WI,0.4755844276,149.26375,67,"Janesville-Beloit, WI",42.5083482,-89.0317765
166,Jefferson City,MO,0.3114883711,83.80928571,129,"Jefferson City, MO",38.5767017,-92.1735164
167,JohnsTown,PA,0.4272010621,132.2535,210,"JohnsTown, PA",40.3267407,-78.9219698
168,Johnson City,TN,0.3935232553,124.58,114,"Johnson City, TN",36.3134397,-82.3534727
169,Jonesboro,AR,0.4479067036,133.465,73,"Jonesboro, AR",35.835696,-90.7051346
170,Joplin,MO,0.3506751503,107.9233333,127,"Joplin, MO",37.0842271,-94.513281
171,Kalamazoo-Portage,MI,0.3964428331,117.8625,444,"Kalamazoo-Portage, MI",42.2011538,-85.5800022
172,Kankakee,IL,0.4307589783,110.615,105,"Kankakee, IL",41.1200325,-87.8611531
173,Kansas City,MO,0.2111454886,60.42931818,1363,"Kansas City, MO",39.0997265,-94.5785667
174,Kennewick-Richland,WA,0.3070615181,92.17541667,666,"Kennewick-Richland, WA",46.2086683,-119.119948
