,MSA,state,lq,race,MSA_State,Latitude,Longitude
1,Abilene,TX,0.71,Asian,"Abilene, TX",32.4487364,-99.7331439
2,Akron,OH,0.45,Asian,"Akron, OH",41.0814447,-81.5190053
3,Albany,GA,0.4,Asian,"Albany, GA",31.5785074,-84.155741
4,Albany,OR,0.46,Asian,"Albany, OR",44.6365107,-123.1059282
5,Albany,NY,0.65,Asian,"Albany, NY",42.6525793,-73.7562317
6,Albuquerque,NM,0.81,Asian,"Albuquerque, NM",35.0843859,-106.650422
7,Alexandria,LA,0.29,Asian,"Alexandria, LA",31.3112936,-92.4451371
8,Allentown,PA,0.52,Asian,"Allentown, PA",40.6022939,-75.4714098
9,Altoona,PA,0.22,Asian,"Altoona, PA",40.5186809,-78.3947359
10,Amarillo,TX,0.25,Asian,"Amarillo, TX",35.2219971,-101.8312969
11,Ames,IA,0.47,Asian,"Ames, IA",42.0307812,-93.6319131
12,Anchorage,AK,0.67,Asian,"Anchorage, AK",61.2175758,-149.8996785
13,Ann Arbor,MI,3.62,Asian,"Ann Arbor, MI",42.2808256,-83.7430378
14,Anniston,AL,1.02,Asian,"Anniston, AL",33.6598257,-85.8316318
15,Appleton,WI,0.28,Asian,"Appleton, WI",44.2619309,-88.4153847
16,Asheville,NC,0.17,Asian,"Asheville, NC",35.5950581,-82.5514869
17,Athens,GA,0.89,Asian,"Athens, GA",33.9519347,-83.357567
18,Atlanta,GA,1.23,Asian,"Atlanta, GA",33.748752,-84.3876845
19,Atlantic City,NJ,0.28,Asian,"Atlantic City, NJ",39.3642834,-74.4229266
20,Auburn,AL,0.23,Asian,"Auburn, AL",32.6098566,-85.4807825
21,Augusta,GA,0.59,Asian,"Augusta, GA",33.4734978,-82.0105148
22,Austin,TX,1.88,Asian,"Austin, TX",30.267153,-97.7430608
23,Bakersfield,CA,0.21,Asian,"Bakersfield, CA",35.3732921,-119.0187125
24,Baltimore,MD,1.03,Asian,"Baltimore, MD",39.2903848,-76.6121893
25,Bangor,ME,0.69,Asian,"Bangor, ME",44.8016128,-68.7712257
26,Barnstable Town,MA,0.12,Asian,"Barnstable Town, MA",41.7003208,-70.3002024
27,Baton Rouge,LA,0.22,Asian,"Baton Rouge, LA",30.4514677,-91.1871466
28,Battle Creek,MI,0.76,Asian,"Battle Creek, MI",42.3211522,-85.1797142
29,Bay City,MI,0.18,Asian,"Bay City, MI",43.5944677,-83.8888647
30,Beaumont,TX,0.13,Asian,"Beaumont, TX",30.080174,-94.1265562
31,Beckley,WV,0.07,Asian,"Beckley, WV",37.7781702,-81.1881557
32,Bellingham,WA,0.56,Asian,"Bellingham, WA",48.7519112,-122.4786854
33,Bend,OR,0.43,Asian,"Bend, OR",44.0581728,-121.3153096
34,Billings,MT,0.05,Asian,"Billings, MT",45.7832856,-108.5006904
35,Binghamton,NY,0.43,Asian,"Binghamton, NY",42.0986867,-75.9179738
36,Birmingham,AL,0.28,Asian,"Birmingham, AL",33.5185892,-86.8103567
37,Bismarck,ND,0.05,Asian,"Bismarck, ND",46.8054947,-100.7876931
38,Blacksburg,VA,1.5,Asian,"Blacksburg, VA",37.2295733,-80.4139393
39,Bloomington,IL,0.42,Asian,"Bloomington, IL",40.4842027,-88.9936873
40,Bloomington,IN,2.14,Asian,"Bloomington, IN",39.165325,-86.5263857
41,Bloomsburg,PA,0.21,Asian,"Bloomsburg, PA",41.003698,-76.4549457
42,Boise City,ID,0.34,Asian,"Boise City, ID",43.6150186,-116.2023137
43,Boston,MA,1.82,Asian,"Boston, MA",42.3600825,-71.0588801
44,Boulder,CO,1.7,Asian,"Boulder, CO",40.0149856,-105.2705456
45,Bowling Green,KY,0,Asian,"Bowling Green, KY",36.9685219,-86.4808043
46,Bremerton,WA,1.01,Asian,"Bremerton, WA",47.5650067,-122.6269768
47,Bridgeport,CT,1.43,Asian,"Bridgeport, CT",41.1792258,-73.1894384
48,Brownsville,TX,0.04,Asian,"Brownsville, TX",25.9017472,-97.4974838
49,Brunswick,GA,0,Asian,"Brunswick, GA",31.1499528,-81.4914894
50,Buffalo,NY,0.39,Asian,"Buffalo, NY",42.8864468,-78.8783689
51,Burlington,NC,0.46,Asian,"Burlington, NC",36.0958949,-79.4372709
52,Burlington,VT,0.96,Asian,"Burlington, VT",44.4758825,-73.212072
53,California,MD,0.06,Asian,"California, MD",38.3004029,-76.5074542
54,Canton,OH,0.14,Asian,"Canton, OH",40.7989473,-81.378447
55,Cape Coral,FL,0.76,Asian,"Cape Coral, FL",26.5628537,-81.9495331
56,Cape Girardeau,MO,0,Asian,"Cape Girardeau, MO",37.3058839,-89.5181476
57,Carbondale,IL,0.81,Asian,"Carbondale, IL",37.7272727,-89.2167501
58,Carson City,NV,1.61,Asian,"Carson City, NV",39.1637984,-119.7674034
59,Casper,WY,0,Asian,"Casper, WY",42.848709,-106.2980824
60,Cedar Rapids,IA,0.14,Asian,"Cedar Rapids, IA",41.9778795,-91.6656232
61,Chambersburg,PA,0.36,Asian,"Chambersburg, PA",39.9375911,-77.6611022
62,Champaign,IL,2.1,Asian,"Champaign, IL",40.1164204,-88.2433829
63,Charleston,WV,0.25,Asian,"Charleston, WV",38.3498195,-81.6326234
64,Charleston,SC,0.4,Asian,"Charleston, SC",32.7764749,-79.9310512
65,Charlotte,NC,1.51,Asian,"Charlotte, NC",35.2270869,-80.8431267
66,Charlottesville,VA,1.62,Asian,"Charlottesville, VA",38.0293059,-78.4766781
67,Chattanooga,TN,0.43,Asian,"Chattanooga, TN",35.0457984,-85.3093995
68,Cheyenne,WY,0.75,Asian,"Cheyenne, WY",41.1399814,-104.8202462
69,Chicago,IL,1,Asian,"Chicago, IL",41.8781136,-87.6297982
70,Chico,CA,0.16,Asian,"Chico, CA",39.7284944,-121.8374777
71,Cincinnati,OH,0.9,Asian,"Cincinnati, OH",39.1031182,-84.5120196
72,Clarksville,TN,0.6,Asian,"Clarksville, TN",36.5297706,-87.3594528
73,Cleveland,TN,0.32,Asian,"Cleveland, TN",35.1595182,-84.8766115
74,Cleveland,OH,0.57,Asian,"Cleveland, OH",41.49932,-81.6943605
75,Coeur d'Alene,ID,0.32,Asian,"Coeur d'Alene, ID",47.6734632,-116.7812225
76,College Station,TX,0.96,Asian,"College Station, TX",30.627977,-96.3344068
77,Colorado Springs,CO,1.42,Asian,"Colorado Springs, CO",38.8338816,-104.8213634
78,Columbia,MO,1.13,Asian,"Columbia, MO",38.9517053,-92.3340724
79,Columbia,SC,0.97,Asian,"Columbia, SC",34.0007104,-81.0348144
80,Columbus,GA,0.98,Asian,"Columbus, GA",32.4609764,-84.9877094
81,Columbus,IN,2.12,Asian,"Columbus, IN",39.2014404,-85.9213796
82,Columbus,OH,1.51,Asian,"Columbus, OH",39.9611755,-82.9987942
83,Corpus Christi,TX,0.67,Asian,"Corpus Christi, TX",27.8005828,-97.396381
84,Corvallis,OR,1.96,Asian,"Corvallis, OR",44.5645659,-123.2620435
85,Crestview,FL,1.03,Asian,"Crestview, FL",30.7541808,-86.5727995
86,Cumberland,MD,0.21,Asian,"Cumberland, MD",39.6528654,-78.7625185
87,Dallas,TX,1.55,Asian,"Dallas, TX",32.7766642,-96.7969879
88,Dalton,GA,0.36,Asian,"Dalton, GA",34.7698021,-84.9702228
89,Danville,IL,0,Asian,"Danville, IL",40.124481,-87.6300207
90,Daphne,AL,0.13,Asian,"Daphne, AL",30.6035255,-87.9036047
91,Davenport,IA,0.63,Asian,"Davenport, IA",41.5236437,-90.5776367
92,Dayton,OH,0.6,Asian,"Dayton, OH",39.7589478,-84.1916069
93,Decatur,AL,0,Asian,"Decatur, AL",34.6059253,-86.9833417
94,Decatur,IL,0.53,Asian,"Decatur, IL",39.8403147,-88.9548001
95,Deltona,FL,0.43,Asian,"Deltona, FL",28.9005446,-81.2636738
96,Denver,CO,0.98,Asian,"Denver, CO",39.7392358,-104.990251
97,Des Moines,IA,0.83,Asian,"Des Moines, IA",41.5868353,-93.6249593
98,Detroit,MI,0.66,Asian,"Detroit, MI",42.331427,-83.0457538
99,Dothan,AL,0.27,Asian,"Dothan, AL",31.2232313,-85.3904888
100,Dover,DE,0.99,Asian,"Dover, DE",39.158168,-75.5243682
101,Dubuque,IA,0.9,Asian,"Dubuque, IA",42.506348,-90.6677347
102,Duluth,MN,0.25,Asian,"Duluth, MN",46.7866719,-92.1004852
103,Durham,NC,1.52,Asian,"Durham, NC",35.9940329,-78.898619
104,East Stroudsburg,PA,0.75,Asian,"East Stroudsburg, PA",41.0030522,-75.1817547
105,Eau Claire,WI,0.83,Asian,"Eau Claire, WI",44.811349,-91.4984941
106,El Centro,CA,0.05,Asian,"El Centro, CA",32.792,-115.5630514
107,Elizabethtown,KY,1.09,Asian,"Elizabethtown, KY",37.7030646,-85.8649408
108,Elkhart,IN,0,Asian,"Elkhart, IN",41.6873832,-85.973517
109,Elmira,NY,0.47,Asian,"Elmira, NY",42.0897965,-76.8077338
110,El Paso,TX,0.48,Asian,"El Paso, TX",31.7618778,-106.4850217
111,Enid,OK,1.5,Asian,"Enid, OK",36.3955891,-97.8783911
112,Erie,PA,0.53,Asian,"Erie, PA",42.1292241,-80.085059
113,Eugene,OR,0.94,Asian,"Eugene, OR",44.0520691,-123.0867536
114,Evansville,IN,0.29,Asian,"Evansville, IN",37.9715592,-87.5710898
115,Fairbanks,AK,1.69,Asian,"Fairbanks, AK",64.8400511,-147.7199756
116,Fargo,ND,0.81,Asian,"Fargo, ND",46.8771863,-96.7898034
117,Farmington,NM,0.25,Asian,"Farmington, NM",36.7280583,-108.2186856
118,Fayetteville,NC,1.02,Asian,"Fayetteville, NC",35.0523673,-78.8783774
119,Fayetteville,AR,1.25,Asian,"Fayetteville, AR",36.0626579,-94.1605839
120,Flagstaff,AZ,0.14,Asian,"Flagstaff, AZ",35.1982836,-111.651302
121,Flint,MI,0.14,Asian,"Flint, MI",43.0125274,-83.6874562
122,Florence,SC,0.22,Asian,"Florence, SC",34.1954331,-79.7625625
123,Florence,AL,0.09,Asian,"Florence, AL",34.79981,-87.677251
124,Fond du Lac,WI,1.31,Asian,"Fond du Lac, WI",43.7730448,-88.4470508
125,Fort Collins,CO,0.83,Asian,"Fort Collins, CO",40.5852602,-105.084423
126,Fort Smith,AR,0.3,Asian,"Fort Smith, AR",35.3843722,-94.4209646
127,Fort Wayne,IN,0.73,Asian,"Fort Wayne, IN",41.079273,-85.1393513
128,Fresno,CA,0.63,Asian,"Fresno, CA",36.7377981,-119.7871247
129,Gadsden,AL,0.13,Asian,"Gadsden, AL",34.014264,-86.0066386
130,Gainesville,FL,0.88,Asian,"Gainesville, FL",29.6516344,-82.3248262
131,Gainesville,GA,0.16,Asian,"Gainesville, GA",34.2978794,-83.8240663
132,Gettysburg,PA,0.28,Asian,"Gettysburg, PA",39.8309293,-77.2310955
133,Glens Falls,NY,0.18,Asian,"Glens Falls, NY",43.3095164,-73.6440058
134,Goldsboro,NC,0.26,Asian,"Goldsboro, NC",35.3848841,-77.9927651
135,Grand Forks,ND,1.45,Asian,"Grand Forks, ND",47.9252568,-97.0328547
136,Grand Island,NE,0.09,Asian,"Grand Island, NE",40.9263957,-98.3420118
137,Grand Junction,CO,0.24,Asian,"Grand Junction, CO",39.0638705,-108.5506486
138,Grand Rapids,MI,0.44,Asian,"Grand Rapids, MI",42.9633599,-85.6680863
139,Grants Pass,OR,0.13,Asian,"Grants Pass, OR",42.4390069,-123.3283925
140,Great Falls,MT,0.4,Asian,"Great Falls, MT",47.5052849,-111.3007715
141,Greeley,CO,0.41,Asian,"Greeley, CO",40.4233142,-104.7091322
142,Green Bay,WI,0.85,Asian,"Green Bay, WI",44.5133188,-88.0132958
143,Greensboro,NC,0.72,Asian,"Greensboro, NC",36.0726354,-79.7919754
144,Greenville,NC,0.76,Asian,"Greenville, NC",35.612661,-77.3663538
145,Greenville,SC,0.61,Asian,"Greenville, SC",34.8526176,-82.3940104
146,Gulfport,MS,0.66,Asian,"Gulfport, MS",30.3674198,-89.0928155
147,Hagerstown,MD,0.34,Asian,"Hagerstown, MD",39.6417629,-77.7199932
148,Hammond,LA,0.22,Asian,"Hammond, LA",30.5043583,-90.4611995
149,Hanford,CA,0.22,Asian,"Hanford, CA",36.3274502,-119.6456844
150,Harrisburg,PA,1.2,Asian,"Harrisburg, PA",40.2731911,-76.8867008
151,Harrisonburg,VA,0.78,Asian,"Harrisonburg, VA",38.4495688,-78.8689155
152,Hartford,CT,1.19,Asian,"Hartford, CT",41.7658043,-72.6733723
153,Hattiesburg,MS,0,Asian,"Hattiesburg, MS",31.3271189,-89.2903392
154,Hickory,NC,0.63,Asian,"Hickory, NC",35.7344538,-81.3444573
155,Hilton Head Island,SC,0.57,Asian,"Hilton Head Island, SC",32.216316,-80.752608
156,Hinesville,GA,0.6,Asian,"Hinesville, GA",31.8315028,-81.6141099
157,Homosassa Springs,FL,0.11,Asian,"Homosassa Springs, FL",28.8037059,-82.5761369
158,Hot Springs,AR,0.05,Asian,"Hot Springs, AR",34.5077615,-93.0546003
159,Houma,LA,0,Asian,"Houma, LA",29.5957696,-90.7195348
160,Houston,TX,1.08,Asian,"Houston, TX",29.7604267,-95.3698028
161,Huntington,WV,0.31,Asian,"Huntington, WV",38.4192496,-82.445154
162,Huntsville,AL,0.52,Asian,"Huntsville, AL",34.7303688,-86.5861037
163,Idaho Falls,ID,0.23,Asian,"Idaho Falls, ID",43.4926607,-112.0407584
164,Indianapolis,IN,0.99,Asian,"Indianapolis, IN",39.768403,-86.158068
165,Iowa City,IA,1.17,Asian,"Iowa City, IA",41.6578257,-91.5346169
166,Ithaca,NY,10.47,Asian,"Ithaca, NY",42.4439614,-76.5018807
167,Jackson,MI,0.26,Asian,"Jackson, MI",42.245869,-84.4013462
168,Jackson,MS,0.18,Asian,"Jackson, MS",32.2987573,-90.1848103
169,Jackson,TN,0.07,Asian,"Jackson, TN",35.6145169,-88.8139469
170,Jacksonville,FL,0.94,Asian,"Jacksonville, FL",30.3321838,-81.655651
171,Jacksonville,NC,1.77,Asian,"Jacksonville, NC",34.7540524,-77.4302414
172,Janesville,WI,0.12,Asian,"Janesville, WI",42.6827885,-89.0187222
173,Jefferson City,MO,0.01,Asian,"Jefferson City, MO",38.5767017,-92.1735164
174,Johnson City,TN,0.85,Asian,"Johnson City, TN",36.3134397,-82.3534727
175,Johnstown,PA,0,Asian,"Johnstown, PA",40.3267407,-78.9219698
176,Jonesboro,AR,0.03,Asian,"Jonesboro, AR",35.835696,-90.7051346
177,Joplin,MO,0.14,Asian,"Joplin, MO",37.0842271,-94.513281
178,Kahului,HI,1.72,Asian,"Kahului, HI",20.8893016,-156.4728725
179,Kalamazoo,MI,0.66,Asian,"Kalamazoo, MI",42.2917069,-85.5872286
180,Kankakee,IL,0.01,Asian,"Kankakee, IL",41.1200325,-87.8611531
181,Kansas City,MO,1.01,Asian,"Kansas City, MO",39.0997265,-94.5785667
182,Kennewick,WA,0.44,Asian,"Kennewick, WA",46.2086683,-119.119948
183,Killeen,TX,0.76,Asian,"Killeen, TX",31.1171194,-97.7277959
184,Kingsport,TN,0.18,Asian,"Kingsport, TN",36.548434,-82.5618186
185,Kingston,NY,0.06,Asian,"Kingston, NY",41.9270367,-73.9973608
186,Knoxville,TN,0.38,Asian,"Knoxville, TN",35.9606384,-83.9207392
187,Kokomo,IN,0,Asian,"Kokomo, IN",40.486427,-86.1336033
188,La Crosse,WI,0.84,Asian,"La Crosse, WI",43.8137751,-91.2519017
189,Lafayette,LA,0.25,Asian,"Lafayette, LA",30.2240897,-92.0198427
190,Lafayette,IN,4.18,Asian,"Lafayette, IN",40.4167022,-86.8752869
191,Lake Charles,LA,0.24,Asian,"Lake Charles, LA",30.2265949,-93.2173758
